dataset,subject,exit,n_trials,accuracy_pct,error_rate,ece_15,nll,brier_sum
IV-2b,6,S,320,85.9375,0.140625,0.07345944178004184,0.3077086241672379,0.1895761044982182
IV-2b,6,M,320,89.6875,0.103125,0.02910768115332389,0.23490357482399604,0.14308772741406645
IV-2b,6,D,320,91.25,0.0875,0.03497164588595504,0.23688453374052018,0.14093905210984184
IV-2b,6,F,320,90.0,0.1,0.038627266131251725,0.2618670477777719,0.15799366351625727
IV-2b,6,Fusion,320,90.625,0.09375,0.030061294331764674,0.23971870111785593,0.14501271238717145
IV-2b,7,S,320,91.25,0.0875,0.031525383771835225,0.23874688651681134,0.14050609638536501
IV-2b,7,M,320,93.125,0.06875,0.03682868621663063,0.2270495564301953,0.12230730547288812
IV-2b,7,D,320,93.125,0.06875,0.03907521889354816,0.2270941180135675,0.12405271804218085
IV-2b,7,F,320,92.5,0.075,0.035597890932881474,0.22407392966076994,0.11859662530883508
IV-2b,7,Fusion,320,93.125,0.06875,0.03090783849399853,0.21929071582909904,0.11957714237096044
IV-2b,8,S,320,92.8125,0.071875,0.031320718877368245,0.18662357220591064,0.11297973591999763
IV-2b,8,M,320,94.375,0.05625,0.03817385320950763,0.17745967759669584,0.10078158511848997
IV-2b,8,D,320,93.75,0.0625,0.033803448055765344,0.18762886737355888,0.10715845084676516
IV-2b,8,F,320,94.375,0.05625,0.028029352537029706,0.16914374109715904,0.09708187566046797
IV-2b,8,Fusion,320,94.6875,0.053125,0.03534604545218835,0.17389599107702422,0.09994761982280834
IV-2b,9,S,320,89.375,0.10625,0.05882448100574564,0.2762177180623917,0.16407739114190684
IV-2b,9,M,320,90.0,0.1,0.0432983753390209,0.28782384803227823,0.17145892842845814
IV-2b,9,D,320,89.6875,0.103125,0.03954100203241112,0.29206836496846683,0.17396139980734796
IV-2b,9,F,320,89.375,0.10625,0.03298380554627356,0.276378735433028,0.16521902837685515
IV-2b,9,Fusion,320,90.0,0.1,0.030932690991587145,0.2758249412431314,0.1648259706502535
